Transaction_ID,User_ID,Transaction_Amount,Transaction_Date,Transaction_Time,Merchant_Name,Merchant_Location,Payment_Method,Transaction_Status,Fraud_Flag,User_Account_Balance,User_Device_Type,User_Transaction_History_Count,User_Age,User_Gender,User_Country,Transaction_Type,Merchant_Category,User_Account_Status
TID1221,UID1952,172.31,2024-01-10,05:00:00,Merchant_61,Location_26,Credit Card,Failed,1,93836.42,Android,34,49,Other,UK,Deposit,Travel,Active
TID2738,UID1490,680.03,2024-03-13,10:00:00,Merchant_54,Location_32,UPI,Success,0,72443.21,Android,327,29,Male,USA,Purchase,Electronics,Suspended
TID1516,UID1103,2840.89,2024-01-22,12:00:00,Merchant_2,Location_40,Credit Card,Pending,1,21173.83,Android,310,45,Other,USA,Transfer,Healthcare,Active
TID1019,UID1130,3083.16,2024-01-01,19:00:00,Merchant_57,Location_10,UPI,Pending,1,26863.27,Android,212,26,Female,Canada,Transfer,Fashion,Inactive
TID2339,UID1714,228.26,2024-02-25,19:00:00,Merchant_71,Location_8,Credit Card,Failed,0,82706.81,Android,412,24,Male,India,Withdrawal,Grocery,Inactive
TID1165,UID1804,2915.03,2024-01-07,21:00:00,Merchant_33,Location_28,Net Banking,Success,1,20549.88,Android,147,60,Female,Canada,Transfer,Healthcare,Inactive
TID2892,UID1757,2118.92,2024-03-19,20:00:00,Merchant_96,Location_28,UPI,Pending,0,5952.2,Android,62,30,Male,Canada,Withdrawal,Fashion,Active
TID2810,UID1358,4966.34,2024-03-16,10:00:00,Merchant_76,Location_3,UPI,Success,0,78178.07,iOS,433,30,Other,Australia,Transfer,Grocery,Active
TID1849,UID1633,2715.76,2024-02-05,09:00:00,Merchant_89,Location_47,UPI,Success,1,51413.03,iOS,44,68,Other,Australia,Transfer,Grocery,Active
TID2480,UID1922,4271.27,2024-03-02,16:00:00,Merchant_80,Location_10,Debit Card,Success,0,38149.39,iOS,150,34,Other,Australia,Purchase,Fashion,Suspended
TID2725,UID1578,3373.91,2024-03-12,21:00:00,Merchant_12,Location_48,UPI,Success,0,58312.74,iOS,22,54,Other,Australia,Purchase,Travel,Suspended
TID2765,UID1896,4905.91,2024-03-14,13:00:00,Merchant_25,Location_27,Net Banking,Success,0,86641.19,iOS,319,43,Male,USA,Transfer,Fashion,Inactive
TID2079,UID1762,1590.64,2024-02-14,23:00:00,Merchant_81,Location_24,Debit Card,Pending,0,12172.96,Android,307,56,Female,India,Deposit,Travel,Active
TID2304,UID1842,1295.46,2024-02-24,08:00:00,Merchant_50,Location_4,Net Banking,Pending,0,19698.07,Android,416,67,Female,USA,Deposit,Travel,Active
