Transaction_ID,User_ID,Transaction_Amount,Transaction_Date,Transaction_Time,Merchant_Name,Merchant_Location,Payment_Method,Transaction_Status,Fraud_Flag,User_Account_Balance,User_Device_Type,User_Transaction_History_Count,User_Age,User_Gender,User_Country,Transaction_Type,Merchant_Category,User_Account_Status
TID1000,UID1102,4311.59,2024-01-01,00:00:00,Merchant_68,Location_1,Net Banking,Failed,0,83865.19,Android,409,32,Other,Australia,Deposit,Grocery,Inactive
TID1001,UID1435,4224.3,2024-01-01,01:00:00,Merchant_33,Location_26,UPI,Failed,0,8811.28,Android,102,68,Other,Australia,Deposit,Fashion,Suspended
TID1002,UID1860,1602.31,2024-01-01,02:00:00,Merchant_13,Location_23,Debit Card,Pending,0,10044.03,iOS,44,23,Other,UK,Deposit,Travel,Active
TID1003,UID1270,4146.29,2024-01-01,03:00:00,Merchant_84,Location_26,Credit Card,Pending,1,43313.42,iOS,15,44,Male,Germany,Deposit,Fashion,Inactive
TID1004,UID1106,194.67,2024-01-01,04:00:00,Merchant_54,Location_45,Credit Card,Pending,1,14344.99,iOS,236,22,Female,Germany,Transfer,Fashion,Suspended
TID1005,UID1071,2985.39,2024-01-01,05:00:00,Merchant_7,Location_6,Credit Card,Pending,0,91453.29,Android,361,22,Female,Germany,Transfer,Healthcare,Active
TID1006,UID1700,1157.74,2024-01-01,06:00:00,Merchant_79,Location_6,UPI,Success,0,47558.11,Android,51,35,Other,UK,Transfer,Electronics,Active
TID1007,UID1020,611.63,2024-01-01,07:00:00,Merchant_87,Location_44,Credit Card,Success,0,57345.95,iOS,309,45,Female,Australia,Purchase,Healthcare,Active
TID1008,UID1614,394.0,2024-01-01,08:00:00,Merchant_14,Location_8,Net Banking,Failed,0,92882.5,Android,34,52,Other,Canada,Transfer,Travel,Active
TID1009,UID1121,3484.48,2024-01-01,09:00:00,Merchant_87,Location_24,Net Banking,Success,0,53496.06,Android,124,39,Male,Germany,Transfer,Healthcare,Inactive
TID1010,UID1466,1705.98,2024-01-01,10:00:00,Merchant_19,Location_22,Net Banking,Failed,0,36005.52,iOS,493,51,Male,Canada,Deposit,Travel,Inactive
TID1011,UID1214,3626.59,2024-01-01,11:00:00,Merchant_54,Location_19,UPI,Success,0,79918.36,iOS,77,21,Male,Canada,Transfer,Healthcare,Active
TID1012,UID1330,336.13,2024-01-01,12:00:00,Merchant_93,Location_37,Credit Card,Pending,0,44842.17,iOS,392,35,Other,UK,Withdrawal,Electronics,Active
TID1013,UID1458,1583.3,2024-01-01,13:00:00,Merchant_20,Location_18,UPI,Pending,0,32528.47,Android,123,58,Female,UK,Withdrawal,Grocery,Inactive
TID1014,UID1087,2702.06,2024-01-01,14:00:00,Merchant_29,Location_31,Credit Card,Success,0,72599.72,iOS,205,68,Male,USA,Deposit,Electronics,Suspended
TID1015,UID1372,3955.71,2024-01-01,15:00:00,Merchant_24,Location_37,Debit Card,Success,1,80358.96,iOS,228,43,Other,Germany,Transfer,Healthcare,Active
TID1016,UID1099,1600.57,2024-01-01,16:00:00,Merchant_82,Location_30,Debit Card,Failed,0,79379.9,iOS,70,59,Female,Australia,Withdrawal,Fashion,Inactive
TID1017,UID1871,3133.2,2024-01-01,17:00:00,Merchant_63,Location_42,UPI,Failed,0,97789.77,Android,230,39,Female,India,Withdrawal,Grocery,Inactive
TID1018,UID1663,4431.03,2024-01-01,18:00:00,Merchant_74,Location_33,Net Banking,Failed,0,78880.03,Android,480,64,Female,UK,Purchase,Fashion,Suspended
TID1019,UID1130,3083.16,2024-01-01,19:00:00,Merchant_57,Location_10,UPI,Pending,0,77223.41,iOS,21,50,Other,Canada,Deposit,Electronics,Inactive
TID1020,UID1661,1172.47,2024-01-01,20:00:00,Merchant_8,Location_37,Net Banking,Pending,1,85891.04,iOS,108,60,Other,USA,Withdrawal,Grocery,Active
TID1021,UID1308,131.76,2024-01-01,21:00:00,Merchant_90,Location_12,Credit Card,Pending,0,1018.33,Android,364,31,Other,India,Withdrawal,Healthcare,Inactive
TID1022,UID1769,4351.79,2024-01-01,22:00:00,Merchant_62,Location_30,Net Banking,Pending,0,36880.71,Android,241,48,Male,UK,Deposit,Fashion,Active
TID1023,UID1343,116.13,2024-01-01,23:00:00,Merchant_29,Location_27,Net Banking,Failed,0,74022.71,iOS,251,27,Other,USA,Transfer,Healthcare,Inactive
TID1024,UID1491,4374.76,2024-01-02,00:00:00,Merchant_74,Location_39,Credit Card,Pending,0,60372.18,Android,135,68,Male,Canada,Deposit,Travel,Active
TID1025,UID1413,2649.4,2024-01-02,01:00:00,Merchant_17,Location_9,Debit Card,Pending,0,18579.63,iOS,90,41,Male,Germany,Purchase,Grocery,Active
TID1026,UID1805,4695.95,2024-01-02,02:00:00,Merchant_66,Location_21,Credit Card,Pending,0,31069.58,iOS,79,38,Male,USA,Purchase,Fashion,Inactive
TID1027,UID1385,3995.93,2024-01-02,03:00:00,Merchant_6,Location_12,UPI,Pending,0,34342.47,Android,440,65,Other,UK,Purchase,Electronics,Active
TID1028,UID1191,4989.69,2024-01-02,04:00:00,Merchant_58,Location_29,UPI,Success,0,57214.98,iOS,177,25,Male,Germany,Withdrawal,Electronics,Inactive
TID1029,UID1955,1760.05,2024-01-02,05:00:00,Merchant_69,Location_33,UPI,Failed,0,83328.23,iOS,298,49,Other,Canada,Transfer,Electronics,Inactive
TID1030,UID1276,3838.27,2024-01-02,06:00:00,Merchant_28,Location_43,UPI,Failed,0,93316.69,Android,407,48,Other,Australia,Purchase,Electronics,Inactive
TID1031,UID1160,2015.64,2024-01-02,07:00:00,Merchant_62,Location_15,UPI,Pending,0,75259.15,iOS,308,51,Male,USA,Deposit,Fashion,Active
TID1032,UID1459,2404.58,2024-01-02,08:00:00,Merchant_41,Location_2,Debit Card,Success,0,84452.09,Android,102,40,Male,India,Purchase,Travel,Inactive
TID1033,UID1313,3141.25,2024-01-02,09:00:00,Merchant_69,Location_39,Debit Card,Failed,0,47539.5,iOS,361,42,Male,Canada,Withdrawal,Electronics,Suspended
TID1034,UID1021,4369.65,2024-01-02,10:00:00,Merchant_82,Location_44,Net Banking,Failed,0,39587.76,iOS,335,24,Other,Germany,Purchase,Electronics,Active
TID1035,UID1252,4920.58,2024-01-02,11:00:00,Merchant_90,Location_18,UPI,Pending,0,39878.14,Android,112,36,Other,Canada,Transfer,Electronics,Suspended
TID1036,UID1747,3843.68,2024-01-02,12:00:00,Merchant_84,Location_3,Credit Card,Pending,0,61987.81,Android,181,24,Male,Germany,Purchase,Travel,Suspended
TID1037,UID1856,2094.66,2024-01-02,13:00:00,Merchant_41,Location_7,UPI,Failed,0,13299.43,Android,104,64,Male,Canada,Transfer,Grocery,Suspended
TID1038,UID1560,2112.57,2024-01-02,14:00:00,Merchant_49,Location_43,Debit Card,Failed,0,58369.92,Android,16,25,Female,Australia,Transfer,Electronics,Suspended
TID1039,UID1474,3690.54,2024-01-02,15:00:00,Merchant_91,Location_18,UPI,Success,0,66848.15,Android,96,31,Male,USA,Deposit,Electronics,Inactive
TID1040,UID1058,1201.5,2024-01-02,16:00:00,Merchant_49,Location_44,Debit Card,Failed,0,44451.97,Android,293,18,Female,India,Transfer,Electronics,Suspended
TID1041,UID1510,561.27,2024-01-02,17:00:00,Merchant_76,Location_38,Net Banking,Failed,0,95363.55,iOS,146,30,Female,Australia,Withdrawal,Grocery,Active
TID1042,UID1681,1779.56,2024-01-02,18:00:00,Merchant_71,Location_37,Net Banking,Pending,0,61213.11,Android,404,20,Other,USA,Withdrawal,Electronics,Suspended
TID1043,UID1475,1443.32,2024-01-02,19:00:00,Merchant_3,Location_33,Net Banking,Failed,0,22779.95,iOS,302,45,Other,India,Transfer,Grocery,Suspended
TID1044,UID1699,1488.58,2024-01-02,20:00:00,Merchant_10,Location_44,Debit Card,Pending,0,48442.41,Android,2,55,Female,Canada,Transfer,Grocery,Suspended
TID1045,UID1975,1175.7,2024-01-02,21:00:00,Merchant_98,Location_31,UPI,Failed,0,67865.04,iOS,119,68,Female,India,Purchase,Healthcare,Inactive
TID1046,UID1782,220.05,2024-01-02,22:00:00,Merchant_89,Location_11,UPI,Failed,0,33039.28,iOS,343,32,Male,UK,Purchase,Healthcare,Suspended
TID1047,UID1189,99.19,2024-01-02,23:00:00,Merchant_35,Location_4,Credit Card,Failed,0,8884.52,Android,94,53,Female,India,Deposit,Electronics,Suspended
TID1048,UID1957,4938.73,2024-01-03,00:00:00,Merchant_80,Location_18,Debit Card,Success,0,58760.13,iOS,191,20,Male,USA,Purchase,Fashion,Suspended
TID1049,UID1686,2144.59,2024-01-03,01:00:00,Merchant_2,Location_4,Credit Card,Pending,0,94839.15,iOS,3,21,Other,Australia,Withdrawal,Healthcare,Active
TID1050,UID1957,1927.79,2024-01-03,02:00:00,Merchant_24,Location_49,Net Banking,Success,0,49022.13,iOS,430,22,Male,Australia,Purchase,Healthcare,Inactive
TID1051,UID1562,3401.44,2024-01-03,03:00:00,Merchant_74,Location_34,UPI,Failed,0,90704.8,Android,487,67,Other,UK,Deposit,Fashion,Inactive
TID1052,UID1875,1099.09,2024-01-03,04:00:00,Merchant_38,Location_29,Debit Card,Success,1,83667.34,Android,111,43,Female,USA,Deposit,Travel,Inactive
TID1053,UID1566,4750.31,2024-01-03,05:00:00,Merchant_22,Location_24,Credit Card,Pending,0,15593.87,iOS,177,42,Female,India,Transfer,Electronics,Active
TID1054,UID1243,3933.86,2024-01-03,06:00:00,Merchant_26,Location_22,Credit Card,Failed,0,71108.82,Android,257,27,Female,UK,Deposit,Travel,Suspended
TID1055,UID1831,456.16,2024-01-03,07:00:00,Merchant_43,Location_2,Credit Card,Success,0,44111.09,Android,361,25,Male,Canada,Transfer,Travel,Active
TID1056,UID1504,2093.73,2024-01-03,08:00:00,Merchant_55,Location_44,UPI,Success,0,25774.39,iOS,22,29,Other,Germany,Withdrawal,Grocery,Inactive
TID1057,UID1130,4396.8,2024-01-03,09:00:00,Merchant_39,Location_6,UPI,Pending,0,69006.9,iOS,477,20,Other,Canada,Withdrawal,Grocery,Inactive
TID1058,UID1484,4724.21,2024-01-03,10:00:00,Merchant_91,Location_42,UPI,Success,0,74523.41,Android,398,44,Other,USA,Purchase,Electronics,Inactive
TID1059,UID1818,2342.33,2024-01-03,11:00:00,Merchant_29,Location_25,Debit Card,Pending,0,18809.74,Android,496,67,Other,UK,Deposit,Fashion,Active
TID1060,UID1646,3070.92,2024-01-03,12:00:00,Merchant_20,Location_21,UPI,Failed,1,91530.02,Android,220,40,Other,Australia,Withdrawal,Grocery,Inactive
TID1061,UID1020,843.5,2024-01-03,13:00:00,Merchant_91,Location_16,Debit Card,Failed,0,75363.58,iOS,469,57,Male,UK,Transfer,Healthcare,Suspended
TID1062,UID1840,4955.93,2024-01-03,14:00:00,Merchant_41,Location_31,Credit Card,Success,0,93404.17,Android,173,50,Other,Germany,Deposit,Electronics,Active
TID1063,UID1166,1166.04,2024-01-03,15:00:00,Merchant_54,Location_14,Credit Card,Failed,0,32390.25,Android,224,31,Female,USA,Deposit,Travel,Suspended
TID1064,UID1273,4714.23,2024-01-03,16:00:00,Merchant_20,Location_39,Net Banking,Failed,0,93994.17,Android,390,40,Other,UK,Transfer,Electronics,Inactive
TID1065,UID1387,3251.74,2024-01-03,17:00:00,Merchant_19,Location_28,UPI,Success,0,37483.25,iOS,65,48,Female,Canada,Deposit,Grocery,Inactive
TID1066,UID1600,3042.61,2024-01-03,18:00:00,Merchant_84,Location_32,Credit Card,Failed,0,6343.01,iOS,277,30,Male,India,Deposit,Fashion,Active
TID1067,UID1315,2568.32,2024-01-03,19:00:00,Merchant_99,Location_28,UPI,Success,0,76533.97,iOS,249,29,Male,Canada,Withdrawal,Travel,Suspended
TID1068,UID1013,1161.04,2024-01-03,20:00:00,Merchant_66,Location_49,Debit Card,Pending,0,70647.31,Android,260,52,Female,USA,Transfer,Fashion,Active
TID1069,UID1241,890.87,2024-01-03,21:00:00,Merchant_30,Location_9,Credit Card,Pending,0,60193.19,Android,131,35,Other,UK,Withdrawal,Electronics,Suspended
TID1070,UID1776,1110.23,2024-01-03,22:00:00,Merchant_53,Location_45,UPI,Pending,0,49499.48,iOS,113,38,Male,Canada,Transfer,Fashion,Inactive
TID1071,UID1345,940.33,2024-01-03,23:00:00,Merchant_34,Location_22,Credit Card,Success,0,4184.36,Android,286,62,Male,UK,Purchase,Fashion,Active
TID1072,UID1564,3900.13,2024-01-04,00:00:00,Merchant_22,Location_32,Credit Card,Success,0,62835.13,Android,287,64,Male,Canada,Deposit,Electronics,Active
