Transaction_Amount,Fraud_Flag,User_Account_Balance,User_Transaction_History_Count,User_Age,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_UPI,Transaction_Status_Failed,Transaction_Status_Pending,Transaction_Status_Success,User_Account_Status_Active,User_Account_Status_Inactive,User_Account_Status_Suspended,Merchant_Category_Electronics,Merchant_Category_Fashion,Merchant_Category_Grocery,Merchant_Category_Healthcare,Merchant_Category_Travel
0.032534524695158024,1,0.9379139909350748,0.06626506024096385,0.607843137254902,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0.1343430231742066,0,0.7215201294486467,0.6546184738955823,0.21568627450980393,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
0.567640730618146,1,0.20292665449958364,0.6204819277108433,0.5294117647058824,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0.6162209420073351,1,0.26047575027788633,0.4236947791164658,0.1568627450980392,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0.04375367203995982,0,0.8253371833995079,0.825301204819277,0.11764705882352944,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0.5825073541059674,1,0.1966153552661139,0.29317269076305214,0.823529411764706,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0.4228706178652139,0,0.048958769651182746,0.12248995983935743,0.23529411764705888,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0.9938379911008802,0,0.7795286518014894,0.8674698795180722,0.23529411764705888,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
0.5425495437145705,1,0.5087983425847469,0.08634538152610441,0.9803921568627451,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
0.8544618919954042,0,0.3746356677469901,0.2991967871485943,0.3137254901960784,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
0.6745224092191514,0,0.5785894066670666,0.04216867469879518,0.7058823529411765,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0.9817205098846805,0,0.8651337207473381,0.6385542168674698,0.4901960784313726,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0.3169394085835,0,0.11188220553482583,0.6144578313253011,0.7450980392156864,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0.25774963354795766,0,0.18799923570515253,0.8333333333333333,0.9607843137254902,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0.8452780323279883,1,0.5717179347409941,0.9638554216867469,0.3137254901960784,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0.11077579551675254,0,0.6436572378347799,0.4156626506024096,0.9803921568627451,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0.738879609224766,1,0.29075683700481797,0.6646586345381525,0.2941176470588236,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0.20333225720421655,0,0.053213674727805936,0.9437751004016063,0.21568627450980393,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0.1473788903571479,0,0.512819994098867,0.6606425702811244,0.5686274509803921,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0.9194647694710859,1,0.846480415146835,0.48192771084337344,0.7843137254901961,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
0.4524574845448475,1,0.39782204290671974,0.9618473895582328,0.019607843137254943,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
0.2974046572996646,0,0.6326818788584575,0.29718875502008024,0.9803921568627451,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0.1429233147717771,0,0.3543561620058269,0.18473895582329317,0.1568627450980392,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
0.9413355898624628,0,0.9717035915687638,0.006024096385542168,0.6666666666666666,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0.3192794881101101,1,0.904507043478727,0.6626506024096385,0.9411764705882354,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0.3390508541190012,0,0.3174620434448416,0.14859437751004015,0.5490196078431373,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0.01800477640911087,0,0.9392834705459722,0.01606425702811245,0.9607843137254902,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0.1749745839691519,0,0.040298851828051464,0.03815261044176707,0.27450980392156865,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0.1420450329957229,0,0.10590096110380523,0.060240963855421686,0.3137254901960784,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0.5312441723597908,0,0.021502822560292657,0.2108433734939759,0.23529411764705888,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0.10416060926286494,1,0.9230818561197754,0.7148594377510039,0.07843137254901966,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0.024589884519982917,1,0.8268250093539129,0.8132530120481927,0.4117647058823529,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
0.29298517548591246,1,0.6171892298353762,0.15662650602409636,0.9019607843137255,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0.5698685184108314,0,0.4995402193979368,0.7851405622489959,0.3921568627450981,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0.7720778582758007,0,0.8420633654645342,0.4337349397590361,0.13725490196078433,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0.9084301014034463,0,0.07255065805118772,0.9277108433734939,0.5490196078431373,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0.7332289287569105,1,0.964832625396296,0.16265060240963855,0.019607843137254943,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0.4715571053597246,0,0.7457694975348053,0.8554216867469878,0.6666666666666666,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0.8196674961550108,1,0.964263146837366,0.823293172690763,0.823529411764706,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
0.9277222223336229,1,0.9598290026832252,0.4337349397590361,0.4509803921568628,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
0.9985201553636348,1,0.08337236908239203,0.9176706827309236,0.43137254901960786,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0.1775232052873365,1,0.7715299562411867,0.5863453815261044,0.33333333333333337,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0.06029063506991164,1,0.33314657538555875,0.04618473895582329,0.4901960784313726,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0.06248232909097838,0,0.6233629640883585,0.7991967871485943,0.019607843137254943,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
0.12062738995911379,1,0.34507841557915314,0.6124497991967871,0.05882352941176472,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0.7980252696505523,1,0.1331732184854561,0.9979919678714858,0.3921568627450981,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
0.30485000030078147,1,0.7366977951267,0.825301204819277,0.6274509803921569,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
0.6066039570804952,1,0.4872647702052864,0.720883534136546,0.2941176470588236,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
0.9514217938203454,1,0.6154501454901395,0.5903614457831324,0.9607843137254902,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
0.7052823234763917,0,0.8622768197849192,0.4096385542168674,0.07843137254901966,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
0.2600496088838804,0,0.39211269161360385,0.33333333333333326,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0.3426421843950584,0,0.8026635412442572,0.3694779116465863,0.11764705882352944,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
0.9694466223248,1,0.48226731768619346,0.21686746987951805,0.6274509803921569,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
0.09394406668524828,1,0.4699952064673344,0.9277108433734939,0.33333333333333337,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
0.043914088802709444,0,0.31838605528068975,0.28915662650602403,0.4901960784313726,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0.42279040948383906,0,0.5502467723563577,0.2650602409638554,0.3529411764705882,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0.913822109841368,0,0.9575132580778714,0.048192771084337345,0.6470588235294118,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
